imageFilename,bboxes
.\rgb_\C106_2017_12_31_10_10_27\1.jpg,"[[240.0, 80.0, 34.0, 27.0], [272.0, 80.0, 22.0, 19.0], [290.0, 73.0, 24.0, 19.0]]"
.\rgb_\C106_2017_12_31_10_30_27\1.jpg,"[[234.0, 85.0, 37.5, 22.0]]"
.\rgb_\C106_2017_12_31_10_30_27\12.jpg,"[[234.0, 84.0, 38.0, 24.0]]"
.\rgb_\C106_2017_12_31_10_50_23\1.jpg,"[[1.0, 108.0, 25.0, 27.0], [237.5, 75.5, 33.0, 21.5], [285.0, 70.0, 27.0, 19.0], [287.0, 74.0, 21.0, 18.0]]"
.\rgb_\C106_2017_12_31_10_50_23\7.jpg,"[[1.0, 125.0, 35.0, 35.0], [237.0, 80.0, 27.0, 18.0], [271.0, 74.0, 25.0, 17.0]]"
.\rgb_\C106_2017_12_31_10_50_23\8.jpg,"[[1.0, 121.0, 32.0, 27.0]]"
.\rgb_\C106_2017_12_31_10_50_23\10.jpg,"[[234.0, 83.0, 37.0, 17.0], [267.0, 74.0, 21.0, 20.0]]"
.\rgb_\C106_2017_12_31_10_50_23\17.jpg,"[[239.0, 73.0, 28.0, 24.0]]"
.\rgb_\C106_2017_12_31_11_10_18\1.jpg,"[[1.0, 118.0, 37.0, 36.0], [237.0, 96.0, 34.0, 23.0], [238.0, 66.0, 60.0, 31.0], [287.0, 82.0, 24.0, 27.0], [296.0, 169.0, 55.0, 63.0], [319.0, 75.0, 19.0, 15.0]]"
.\rgb_\C106_2017_12_31_11_30_19\16.jpg,"[[223.0, 100.0, 41.0, 32.0], [266.0, 73.0, 26.0, 23.0]]"
.\rgb_\C106_2017_12_31_11_50_23\1.jpg,"[[231.0, 139.0, 95.0, 74.0], [232.0, 103.0, 41.0, 25.0], [269.0, 83.0, 33.0, 25.0]]"
.\rgb_\C106_2017_12_31_11_50_23\17.jpg,"[[259.0, 51.0, 83.0, 54.0]]"
.\rgb_\C106_2017_12_31_12_10_23\2.jpg,"[[204.0, 137.0, 109.0, 49.0], [226.0, 84.0, 37.0, 27.0], [238.0, 72.0, 29.0, 16.0], [274.0, 85.0, 20.0, 14.0], [295.0, 76.0, 18.0, 16.0], [315.0, 78.0, 15.0, 12.0]]"
.\rgb_\C106_2017_12_31_12_10_23\5.jpg,"[[22.0, 170.0, 137.0, 69.0], [231.0, 86.0, 31.0, 24.0], [234.0, 121.0, 74.0, 45.0], [236.0, 67.0, 38.0, 26.0], [272.0, 81.0, 21.0, 21.0], [295.0, 77.0, 17.0, 17.0], [311.0, 74.0, 23.0, 17.0], [87.0, 122.0, 82.0, 40.0]]"
.\rgb_\C106_2017_12_31_12_10_23\12.jpg,"[[184.0, 119.0, 81.0, 32.0], [226.0, 84.0, 39.0, 27.0], [232.0, 141.0, 117.0, 58.0], [238.0, 69.0, 29.0, 26.0], [275.0, 83.0, 19.0, 18.0], [286.0, 75.0, 31.0, 20.0], [314.0, 73.0, 19.0, 13.0]]"
.\rgb_\C106_2017_12_31_12_10_23\13.jpg,"[[1.0, 146.0, 66.0, 62.0], [221.0, 84.0, 50.0, 24.0], [230.0, 69.0, 41.0, 27.0], [272.0, 82.0, 22.0, 15.0], [292.0, 78.0, 19.0, 16.0], [312.0, 75.0, 25.0, 20.0], [9.0, 205.0, 139.0, 34.0]]"
.\rgb_\C106_2017_12_31_12_30_24\1.jpg,"[[231.0, 79.0, 23.0, 19.0], [253.0, 87.0, 30.0, 24.0], [273.0, 121.0, 78.0, 53.0], [277.0, 76.0, 29.0, 24.0], [297.0, 72.0, 24.0, 19.0], [317.0, 71.0, 14.0, 19.0], [327.0, 68.0, 17.0, 15.0], [48.0, 118.0, 73.0, 36.0], [84.0, 193.0, 168.0, 46.0]]"
.\rgb_\C106_2017_12_31_12_30_24\3.jpg,"[[1.0, 148.0, 53.0, 53.0], [1.0, 195.0, 77.0, 44.0], [214.0, 127.0, 103.0, 43.0], [228.0, 83.0, 26.0, 21.0], [245.0, 80.0, 32.0, 24.0], [281.0, 79.0, 29.0, 23.0], [301.0, 75.0, 16.0, 14.0], [311.0, 72.0, 17.0, 19.0], [327.0, 70.0, 16.0, 14.0], [5.0, 117.0, 54.0, 29.0]]"
.\rgb_\C106_2017_12_31_12_30_24\9.jpg,"[[1.0, 204.0, 90.0, 35.0], [204.0, 137.0, 118.0, 48.0], [221.0, 81.0, 33.0, 18.0], [251.0, 85.0, 25.0, 17.0], [261.0, 119.0, 90.0, 47.0], [278.0, 79.0, 24.0, 21.0], [291.0, 75.0, 26.0, 16.0], [315.0, 74.0, 15.0, 14.0], [326.0, 67.0, 22.0, 19.0], [59.0, 113.0, 75.0, 26.0]]"
.\rgb_\C106_2017_12_31_12_30_24\11.jpg,"[[141.0, 131.0, 97.0, 43.0], [204.0, 116.0, 79.0, 44.0], [226.0, 75.0, 30.0, 26.0], [245.0, 82.0, 35.0, 24.0], [280.0, 80.0, 24.0, 18.0], [298.0, 73.0, 20.0, 20.0], [2.0, 161.0, 80.0, 50.0], [306.0, 70.0, 24.0, 20.0], [323.0, 70.0, 23.0, 18.0], [34.0, 110.0, 44.0, 27.0]]"
.\rgb_\C106_2017_12_31_12_50_20\3.jpg,"[[257.0, 144.0, 94.0, 50.0]]"
.\rgb_\C106_2017_12_31_12_50_20\5.jpg,"[[1.0, 152.0, 93.0, 69.0], [182.0, 134.0, 105.0, 46.0]]"
.\rgb_\C106_2017_12_31_12_50_20\10.jpg,"[[223.0, 143.0, 117.0, 50.0], [61.0, 117.0, 74.0, 41.0]]"
.\rgb_\C106_2017_12_31_12_50_20\12.jpg,"[[138.0, 133.0, 97.0, 40.0], [270.0, 133.0, 81.0, 35.0], [28.0, 113.0, 55.0, 37.0]]"
.\rgb_\C106_2017_12_31_12_50_20\13.jpg,"[[1.0, 150.0, 55.0, 56.0], [1.0, 192.0, 42.0, 47.0], [114.0, 132.0, 78.0, 34.0], [12.0, 116.0, 48.0, 25.0], [237.0, 129.0, 1.0, 1.0], [238.0, 132.0, 90.0, 34.0]]"
.\rgb_\C106_2017_12_31_12_50_20\14.jpg,"[[1.0, 117.0, 44.0, 18.0], [1.0, 160.0, 107.0, 55.0], [209.0, 128.0, 79.0, 35.0], [3.0, 204.0, 72.0, 35.0], [79.0, 125.0, 75.0, 31.0]]"
.\rgb_\C106_2017_12_31_12_50_20\19.jpg,"[[1.0, 116.0, 23.0, 20.0], [1.0, 157.0, 90.0, 61.0], [57.0, 110.0, 62.0, 34.0]]"
.\rgb_\C106_2017_12_31_13_10_24\1.jpg,"[[1.0, 151.0, 33.0, 51.0], [124.0, 114.0, 66.0, 27.0], [160.0, 126.0, 99.0, 42.0], [248.0, 85.0, 1.0, 1.0], [250.0, 85.0, 24.0, 21.0], [274.0, 79.0, 21.0, 18.0], [293.0, 75.0, 18.0, 16.0], [314.0, 72.0, 15.0, 18.0], [326.0, 71.0, 9.0, 15.0]]"
.\rgb_\C106_2017_12_31_13_10_24\4.jpg,"[[244.0, 86.0, 35.0, 20.0], [24.0, 164.0, 122.0, 69.0], [253.0, 125.0, 93.0, 38.0], [273.0, 82.0, 23.0, 15.0], [295.0, 76.0, 15.0, 17.0], [315.0, 75.0, 13.0, 14.0], [325.0, 68.0, 16.0, 19.0], [57.0, 113.0, 50.0, 20.0], [80.0, 118.0, 64.0, 34.0]]"
.\rgb_\C106_2017_12_31_13_10_24\6.jpg,"[[101.0, 184.0, 179.0, 55.0], [195.0, 117.0, 78.0, 32.0], [226.0, 134.0, 125.0, 61.0], [238.0, 82.0, 39.0, 25.0], [25.0, 107.0, 30.0, 20.0], [269.0, 80.0, 32.0, 20.0], [28.0, 114.0, 60.0, 33.0], [294.0, 75.0, 20.0, 20.0], [311.0, 71.0, 18.0, 21.0], [316.0, 76.0, 1.0, 1.0], [324.0, 68.0, 19.0, 21.0]]"
.\rgb_\C106_2017_12_31_13_10_24\11.jpg,"[[223.0, 138.0, 109.0, 59.0], [240.0, 81.0, 34.0, 27.0], [271.0, 79.0, 24.0, 17.0], [296.0, 76.0, 15.0, 17.0], [312.0, 72.0, 14.0, 20.0], [321.0, 70.0, 20.0, 16.0], [52.0, 121.0, 88.0, 39.0], [90.0, 109.0, 47.0, 27.0]]"
.\rgb_\C106_2017_12_31_13_10_24\14.jpg,"[[1.0, 116.0, 61.0, 24.0], [1.0, 150.0, 27.0, 40.0], [1.0, 192.0, 68.0, 47.0], [109.0, 130.0, 73.0, 29.0], [236.0, 126.0, 69.0, 39.0], [242.0, 90.0, 31.0, 17.0], [275.0, 82.0, 21.0, 16.0], [28.0, 108.0, 43.0, 20.0], [294.0, 76.0, 16.0, 16.0], [313.0, 73.0, 10.0, 14.0], [325.0, 71.0, 16.0, 13.0]]"
.\rgb_\C106_2017_12_31_13_30_24\1.jpg,"[[178.0, 136.0, 78.0, 45.0], [231.0, 80.0, 27.0, 17.0], [240.0, 129.0, 87.0, 35.0], [249.0, 87.0, 32.0, 18.0], [24.0, 122.0, 67.0, 31.0], [270.0, 172.0, 81.0, 59.0], [272.0, 76.0, 20.0, 11.0], [283.0, 74.0, 27.0, 21.0]]"
.\rgb_\C106_2017_12_31_13_30_24\5.jpg,"[[135.0, 124.0, 76.0, 23.0], [231.0, 82.0, 28.0, 17.0], [238.0, 178.0, 113.0, 59.0], [248.0, 87.0, 29.0, 21.0], [282.0, 76.0, 21.0, 24.0], [57.0, 125.0, 53.0, 39.0], [7.0, 163.0, 101.0, 62.0]]"
.\rgb_\C106_2017_12_31_13_30_24\7.jpg,"[[10.0, 122.0, 42.0, 26.0], [110.0, 198.0, 124.0, 41.0], [203.0, 141.0, 103.0, 40.0], [229.0, 174.0, 122.0, 53.0], [234.0, 83.0, 30.0, 19.0], [253.0, 85.0, 28.0, 18.0], [278.0, 80.0, 25.0, 19.0], [308.0, 134.0, 43.0, 34.0], [88.0, 118.0, 68.0, 27.0]]"
.\rgb_\C106_2017_12_31_13_30_24\11.jpg,"[[1.0, 200.0, 96.0, 39.0], [183.0, 128.0, 88.0, 30.0], [203.0, 163.0, 148.0, 67.0], [236.0, 84.0, 20.0, 14.0], [249.0, 83.0, 31.0, 24.0], [24.0, 112.0, 52.0, 20.0], [278.0, 76.0, 28.0, 23.0], [49.0, 126.0, 78.0, 35.0]]"
.\rgb_\C106_2017_12_31_13_30_24\15.jpg,"[[1.0, 168.0, 88.0, 59.0], [122.0, 85.0, 38.0, 15.0], [192.0, 171.0, 159.0, 63.0], [233.0, 78.0, 26.0, 27.0], [248.0, 82.0, 37.0, 22.0], [271.0, 79.0, 33.0, 20.0], [291.0, 129.0, 60.0, 40.0], [319.0, 67.0, 24.0, 21.0], [84.0, 117.0, 73.0, 28.0]]"
.\rgb_\C106_2017_12_31_13_50_25\1.jpg,"[[1.0, 91.0, 115.0, 40.0], [151.0, 143.0, 103.0, 38.0], [182.0, 202.0, 145.0, 37.0], [240.0, 132.0, 96.0, 29.0]]"
.\rgb_\C106_2017_12_31_13_50_25\2.jpg,"[[1.0, 198.0, 29.0, 41.0], [1.0, 94.0, 100.0, 43.0], [114.0, 132.0, 91.0, 41.0], [200.0, 126.0, 87.0, 37.0]]"
.\rgb_\C106_2017_12_31_13_50_25\3.jpg,"[[1.0, 90.0, 80.0, 41.0], [165.0, 127.0, 77.0, 24.0], [267.0, 145.0, 84.0, 59.0], [79.0, 122.0, 80.0, 36.0]]"
.\rgb_\C106_2017_12_31_13_50_25\6.jpg,"[[1.0, 117.0, 57.0, 34.0], [1.0, 157.0, 99.0, 65.0], [127.0, 140.0, 89.0, 24.0], [76.0, 116.0, 71.0, 25.0]]"
.\rgb_\C106_2017_12_31_13_50_25\11.jpg,"[[1.0, 110.0, 28.0, 15.0], [1.0, 117.0, 36.0, 22.0], [1.0, 148.0, 57.0, 66.0], [265.0, 125.0, 86.0, 52.0]]"
.\rgb_\C106_2017_12_31_13_50_25\20.jpg,"[[1.0, 109.0, 46.0, 25.0], [1.0, 146.0, 70.0, 56.0], [1.0, 211.0, 81.0, 28.0]]"
