imageFilename,bboxes
.\rgb_\C702_2017_12_31_13_34_24\1.jpg,"[[118.0, 83.0, 34.0, 18.0], [118.0, 93.0, 32.0, 20.0], [152.0, 93.0, 26.0, 20.0], [174.0, 87.0, 25.0, 24.0], [190.0, 88.0, 16.0, 16.0], [193.0, 96.0, 25.0, 17.0], [333.0, 108.0, 18.0, 30.0], [70.0, 88.0, 41.0, 20.0]]"
.\rgb_\C702_2017_12_31_13_34_24\4.jpg,"[[1.0, 113.0, 52.0, 34.0], [103.0, 77.0, 34.0, 23.0], [115.0, 94.0, 37.0, 23.0], [146.0, 87.0, 35.0, 23.0], [176.0, 87.0, 21.0, 21.0], [192.0, 85.0, 15.0, 18.0], [56.0, 82.0, 40.0, 32.0]]"
.\rgb_\C702_2017_12_31_13_34_24\8.jpg,"[[1.0, 172.0, 106.0, 59.0], [123.0, 90.0, 29.0, 28.0], [152.0, 88.0, 26.0, 21.0], [171.0, 90.0, 24.0, 20.0], [188.0, 86.0, 18.0, 25.0], [212.0, 90.0, 24.0, 18.0], [28.0, 91.0, 42.0, 18.0], [330.0, 112.0, 21.0, 26.0], [38.0, 108.0, 55.0, 28.0], [92.0, 82.0, 31.0, 20.0]]"
.\rgb_\C702_2017_12_31_13_34_24\16.jpg,"[[115.0, 91.0, 30.0, 23.0], [152.0, 92.0, 23.0, 20.0], [173.0, 87.0, 19.0, 19.0], [185.0, 79.0, 17.0, 19.0], [190.0, 89.0, 15.0, 15.0], [214.0, 92.0, 25.0, 15.0], [252.0, 110.0, 38.0, 24.0], [336.0, 111.0, 15.0, 26.0]]"
.\rgb_\C702_2017_12_31_13_54_32\1.jpg,"[[130.0, 86.0, 27.0, 14.0], [132.0, 94.0, 26.0, 16.0], [161.0, 88.0, 22.0, 23.0], [184.0, 91.0, 22.0, 17.0], [335.0, 111.0, 16.0, 29.0], [38.0, 95.0, 36.0, 27.0], [70.0, 83.0, 32.0, 23.0], [92.0, 116.0, 63.0, 39.0], [98.0, 97.0, 31.0, 21.0]]"
.\rgb_\C702_2017_12_31_13_54_32\4.jpg,"[[112.0, 95.0, 36.0, 21.0], [146.0, 84.0, 24.0, 17.0], [150.0, 93.0, 27.0, 19.0], [171.0, 84.0, 22.0, 15.0], [174.0, 93.0, 25.0, 13.0], [24.0, 108.0, 43.0, 39.0], [332.0, 112.0, 19.0, 21.0], [65.0, 86.0, 33.0, 16.0], [92.0, 89.0, 31.0, 17.0], [96.0, 107.0, 40.0, 26.0]]"
.\rgb_\C702_2017_12_31_14_14_25\1.jpg,"[[100.0, 94.0, 31.0, 25.0], [125.0, 83.0, 26.0, 15.0], [127.0, 92.0, 32.0, 20.0], [154.0, 88.0, 28.0, 24.0], [177.0, 84.0, 22.0, 25.0], [192.0, 86.0, 17.0, 20.0], [338.0, 108.0, 13.0, 32.0], [61.0, 97.0, 44.0, 26.0]]"
.\rgb_\C702_2017_12_31_14_34_28\1.jpg,"[[125.0, 94.0, 31.0, 19.0], [133.0, 101.0, 30.0, 23.0], [151.0, 89.0, 27.0, 19.0], [171.0, 117.0, 40.0, 23.0], [175.0, 89.0, 19.0, 18.0], [185.0, 98.0, 33.0, 26.0], [186.0, 87.0, 18.0, 15.0], [201.0, 85.0, 17.0, 19.0], [339.0, 109.0, 12.0, 28.0], [69.0, 94.0, 38.0, 29.0]]"
.\rgb_\C702_2017_12_31_14_34_28\4.jpg,"[[118.0, 111.0, 48.0, 24.0], [118.0, 95.0, 35.0, 18.0], [147.0, 101.0, 33.0, 18.0], [149.0, 89.0, 29.0, 20.0], [169.0, 90.0, 23.0, 19.0], [181.0, 86.0, 23.0, 18.0], [199.0, 99.0, 27.0, 19.0], [218.0, 90.0, 24.0, 18.0], [239.0, 110.0, 31.0, 24.0], [240.0, 90.5, 23.5, 15.5], [253.0, 100.0, 25.0, 22.0], [56.0, 109.0, 49.0, 25.0], [71.0, 97.0, 34.0, 20.0]]"
.\rgb_\C702_2017_12_31_14_54_33\1.jpg,"[[129.0, 92.0, 34.0, 20.0], [137.0, 124.0, 70.0, 51.0], [155.5, 80.5, 24.0, 19.0], [200.0, 88.0, 20.0, 15.0], [215.0, 81.0, 21.0, 19.0], [30.0, 74.0, 37.0, 20.0], [335.0, 107.0, 16.0, 32.0], [51.0, 85.0, 35.0, 15.0], [81.0, 74.0, 29.0, 18.0], [85.0, 99.0, 37.0, 31.0]]"
